event_id	quote_id	created_at	event_type	job_type_id	selected_options_json	selected_addons_json	total_hours	labor_cost	overhead_cost	material_allowance	travel_fee	final_price	address_provided	pricing_version	status	customer_name	phone	email	address	notes	
EVT-APR26-032	QS-APR26-032	2026-03-08T10:00:00.000Z	locked	transfer_switch	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	1500	411 Cultural Center Dr, Port Arthur, TX 77642	v2	Scheduled	Christine Desormeaux	4096580797		411 Cultural Center Dr, Port Arthur, TX 77642	April 2026 test — Transfer Switch	
EVT-APR26-033	QS-APR26-033	2026-03-08T10:00:00.000Z	locked	panel_upgrade	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	3200	916 42nd St, Port Arthur, TX 77640	v2	Scheduled	Kenneth Breaux	4096580797		916 42nd St, Port Arthur, TX 77640	April 2026 test — Panel Upgrade	
EVT-APR26-034	QS-APR26-034	2026-03-09T10:00:00.000Z	locked	outlet_install	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""WALL_TYPE"":""drywall"",""CRAWLSPACE_ACCESS"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	2500	2230 Lakeview Dr, Bridge City, TX 77611	v2	Scheduled	Deborah Blanchard	4096580797		2230 Lakeview Dr, Bridge City, TX 77611	April 2026 test — Outlet Installation	
EVT-APR26-035	QS-APR26-035	2026-03-09T10:00:00.000Z	locked	ceiling_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	4500	715 Texas Ave, Bridge City, TX 77611	v2	Scheduled	Joshua Fontenot	4096580797		715 Texas Ave, Bridge City, TX 77611	April 2026 test — Ceiling Fan	
EVT-APR26-036	QS-APR26-036	2026-03-09T10:00:00.000Z	locked	ev_charger	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	350	1022 Twin City Hwy, Bridge City, TX 77611	v2	Scheduled	Amy Thibaut	4096580797		1022 Twin City Hwy, Bridge City, TX 77611	April 2026 test — EV Charger	
EVT-APR26-037	QS-APR26-037	2026-03-10T10:00:00.000Z	locked	generator	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	250	3418 Gulfway Dr, Groves, TX 77619	v2	Scheduled	Gary Hebert	4096580797		3418 Gulfway Dr, Groves, TX 77619	April 2026 test — Generator	
EVT-APR26-038	QS-APR26-038	2026-03-10T10:00:00.000Z	locked	lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""partial""},""qty"":1,""classification"":""standard""}"	[]					0	450	514 39th St, Groves, TX 77619	v2	Scheduled	Sandra LeBlanc	4096580797		514 39th St, Groves, TX 77619	April 2026 test — Lighting	
EVT-APR26-039	QS-APR26-039	2026-03-10T10:00:00.000Z	locked	wiring_repair	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	650	1106 Port Neches Ave, Groves, TX 77619	v2	Scheduled	Jason Fusilier	4096580797		1106 Port Neches Ave, Groves, TX 77619	April 2026 test — Wiring Repair	
EVT-APR26-040	QS-APR26-040	2026-03-11T10:00:00.000Z	locked	service_call	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""1960_1980""},""qty"":1,""classification"":""standard""}"	[]					0	550	220 S Twin City Hwy, Nederland, TX 77627	v2	Scheduled	Kimberly Begnaud	4096580797		220 S Twin City Hwy, Nederland, TX 77627	April 2026 test — Service Call	
EVT-APR26-041	QS-APR26-041	2026-03-11T10:00:00.000Z	locked	meter_base	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980""},""qty"":1,""classification"":""standard""}"	[]					0	750	845 Nederland Ave, Nederland, TX 77627	v2	Scheduled	Brian Chauvin	4096580797		845 Nederland Ave, Nederland, TX 77627	April 2026 test — Meter Base	
EVT-APR26-042	QS-APR26-042	2026-03-11T10:00:00.000Z	locked	breaker_replace	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	1200	1712 Boston Ave, Nederland, TX 77627	v2	Scheduled	Carol Romero	4096580797		1712 Boston Ave, Nederland, TX 77627	April 2026 test — Breaker Replacement	
EVT-APR26-043	QS-APR26-043	2026-03-12T10:00:00.000Z	locked	surge_protection	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	875	422 US Hwy 96, Silsbee, TX 77656	v2	Scheduled	Edward Menard	4096580797		422 US Hwy 96, Silsbee, TX 77656	April 2026 test — Surge Protection	
EVT-APR26-044	QS-APR26-044	2026-03-12T10:00:00.000Z	locked	smoke_detectors	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus""},""qty"":1,""classification"":""standard""}"	[]					0	1500	1105 Hwy 327 W, Silsbee, TX 77656	v2	Scheduled	Michelle Doucet	4096580797		1105 Hwy 327 W, Silsbee, TX 77656	April 2026 test — Smoke Detectors	
EVT-APR26-045	QS-APR26-045	2026-03-12T10:00:00.000Z	locked	bathroom_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	3200	715 S 5th St, Silsbee, TX 77656	v2	Scheduled	Ronald Broussard	4096580797		715 S 5th St, Silsbee, TX 77656	April 2026 test — Bathroom Fan	
EVT-APR26-049	QS-APR26-049	2026-03-15T10:00:00.000Z	locked	panel_upgrade	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	250	510 E Commerce St, Kountze, TX 77625	v2	Scheduled	Ryan Blanchard	4096580797		510 E Commerce St, Kountze, TX 77625	April 2026 test — Panel Upgrade	
EVT-APR26-050	QS-APR26-050	2026-03-15T10:00:00.000Z	locked	outlet_install	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""WALL_TYPE"":""drywall"",""CRAWLSPACE_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	450	1340 US Hwy 69, Woodville, TX 75979	v2	Scheduled	Nicole Theriot	4096580797		1340 US Hwy 69, Woodville, TX 75979	April 2026 test — Outlet Installation	
EVT-APR26-051	QS-APR26-051	2026-03-15T10:00:00.000Z	locked	ceiling_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""tall"",""ATTIC_ACCESS"":""partial""},""qty"":1,""classification"":""standard""}"	[]					0	650	415 W Sabine St, Kirbyville, TX 75956	v2	Scheduled	Brandon Trahan	4096580797		415 W Sabine St, Kirbyville, TX 75956	April 2026 test — Ceiling Fan	
EVT-APR26-052	QS-APR26-052	2026-03-16T10:00:00.000Z	locked	ev_charger	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	550	222 Calloway Ave, Pinehurst, TX 77630	v2	Scheduled	Tamara Richard	4096580797		222 Calloway Ave, Pinehurst, TX 77630	April 2026 test — EV Charger	
EVT-APR26-053	QS-APR26-053	2026-03-16T10:00:00.000Z	locked	generator	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	750	1518 FM 1006, Orange, TX 77632	v2	Scheduled	Samuel Arceneaux	4096580797		1518 FM 1006, Orange, TX 77632	April 2026 test — Generator	
EVT-APR26-054	QS-APR26-054	2026-03-16T10:00:00.000Z	locked	lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""CEILING_HEIGHT"":""tall"",""ATTIC_ACCESS"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	1200	4201 N 16th St, Orange, TX 77630	v2	Scheduled	Tiffany Hebert	4096580797		4201 N 16th St, Orange, TX 77630	April 2026 test — Lighting	
EVT-APR26-055	QS-APR26-055	2026-03-17T10:00:00.000Z	locked	wiring_repair	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""pre1960""},""qty"":1,""classification"":""standard""}"	[]					0	875	755 MLK Pkwy, Beaumont, TX 77701	v2	Scheduled	Zachary Boudreaux	4096580797		755 MLK Pkwy, Beaumont, TX 77701	April 2026 test — Wiring Repair	
EVT-APR26-056	QS-APR26-056	2026-03-17T10:00:00.000Z	locked	service_call	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	1500	2840 Dowlen Rd, Beaumont, TX 77706	v2	Scheduled	Megan LeBlanc	4096580797		2840 Dowlen Rd, Beaumont, TX 77706	April 2026 test — Service Call	
EVT-APR26-057	QS-APR26-057	2026-03-17T10:00:00.000Z	locked	meter_base	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	3200	1610 Concord Rd, Beaumont, TX 77703	v2	Scheduled	Tyler Fontenot	4096580797		1610 Concord Rd, Beaumont, TX 77703	April 2026 test — Meter Base	
EVT-APR26-058	QS-APR26-058	2026-03-18T10:00:00.000Z	locked	breaker_replace	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	2500	388 Lakewood Dr, Groves, TX 77619	v2	Scheduled	Brittany Thibodaux	4096580797		388 Lakewood Dr, Groves, TX 77619	April 2026 test — Breaker Replacement	
EVT-APR26-059	QS-APR26-059	2026-03-18T10:00:00.000Z	locked	surge_protection	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	4500	906 Ridgewood Rd, Vidor, TX 77662	v2	Scheduled	Justin Leger	4096580797		906 Ridgewood Rd, Vidor, TX 77662	April 2026 test — Surge Protection	
EVT-APR26-060	QS-APR26-060	2026-03-18T10:00:00.000Z	locked	smoke_detectors	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	350	1724 Cedar Bayou Rd, Orange, TX 77630	v2	Scheduled	Kayla Mouton	4096580797		1724 Cedar Bayou Rd, Orange, TX 77630	April 2026 test — Smoke Detectors	
EVT-APR26-061	QS-APR26-061	2026-03-19T10:00:00.000Z	locked	bathroom_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980"",""ATTIC_ACCESS"":""partial""},""qty"":1,""classification"":""standard""}"	[]					0	250	3205 Harrison Ave, Groves, TX 77619	v2	Scheduled	Austin Credeur	4096580797		3205 Harrison Ave, Groves, TX 77619	April 2026 test — Bathroom Fan	
EVT-APR26-062	QS-APR26-062	2026-03-19T10:00:00.000Z	locked	outdoor_lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000""},""qty"":1,""classification"":""standard""}"	[]					0	450	812 Jade Ave, Vidor, TX 77662	v2	Scheduled	Haley Duhon	4096580797		812 Jade Ave, Vidor, TX 77662	April 2026 test — Outdoor Lighting	
EVT-APR26-063	QS-APR26-063	2026-03-19T10:00:00.000Z	locked	recessed_lights	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""tall"",""ATTIC_ACCESS"":""no""},""qty"":1,""classification"":""standard""}"	[]					0	650	2410 Jimmy Johnson Blvd, Port Arthur, TX 77642	v2	Scheduled	Nathan Prejean	4096580797		2410 Jimmy Johnson Blvd, Port Arthur, TX 77642	April 2026 test — Recessed Lights	
EVT-APR26-067	QS-APR26-067	2026-03-22T10:00:00.000Z	locked	ceiling_fan	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	875	525 N 11th St, Beaumont, TX 77702	v2	Scheduled	Caleb Richard	4096580797		525 N 11th St, Beaumont, TX 77702	April 2026 test — Ceiling Fan	
EVT-APR26-068	QS-APR26-068	2026-03-22T10:00:00.000Z	locked	ev_charger	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""2000plus"",""PANEL_SPACE"":""limited""},""qty"":1,""classification"":""standard""}"	[]					0	1500	2104 FM 105, Vidor, TX 77662	v2	Scheduled	Shelby Meaux	4096580797		2104 FM 105, Vidor, TX 77662	April 2026 test — EV Charger	
EVT-APR26-069	QS-APR26-069	2026-03-22T10:00:00.000Z	locked	generator	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1980_2000"",""PANEL_SPACE"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	3200	817 Turtle Creek Dr, Beaumont, TX 77706	v2	Scheduled	Ethan Begnaud	4096580797		817 Turtle Creek Dr, Beaumont, TX 77706	April 2026 test — Generator	
EVT-APR26-070	QS-APR26-070	2026-03-23T10:00:00.000Z	locked	lighting	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""2000plus"",""CEILING_HEIGHT"":""standard"",""ATTIC_ACCESS"":""yes""},""qty"":1,""classification"":""standard""}"	[]					0	2500	3316 Bigner Rd, Beaumont, TX 77706	v2	Scheduled	Hannah Comeaux	4096580797		3316 Bigner Rd, Beaumont, TX 77706	April 2026 test — Lighting	
EVT-APR26-071	QS-APR26-071	2026-03-23T10:00:00.000Z	locked	wiring_repair	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980""},""qty"":1,""classification"":""standard""}"	[]					0	4500	1419 Ave J, Port Arthur, TX 77640	v2	Scheduled	Connor Gautreau	4096580797		1419 Ave J, Port Arthur, TX 77640	April 2026 test — Wiring Repair	
EVT-APR26-072	QS-APR26-072	2026-03-23T10:00:00.000Z	locked	service_call	"{""answers"":{""PROPERTY_TYPE"":""commercial"",""HOME_AGE"":""2000plus""},""qty"":1,""classification"":""standard""}"	[]					0	350	635 Belvedere Dr, Orange, TX 77630	v2	Scheduled	Abigail Breaux	4096580797		635 Belvedere Dr, Orange, TX 77630	April 2026 test — Service Call	
EVT-APR26-073	QS-APR26-073	2026-03-24T10:00:00.000Z	locked	meter_base	"{""answers"":{""PROPERTY_TYPE"":""residential"",""HOME_AGE"":""1960_1980""},""qty"":1,""classification"":""standard""}"	[]					0	250	2022 MLK Dr, Vidor, TX 77662	v2	Scheduled	Dylan Desormeaux	4096580797		2022 MLK Dr, Vidor, TX 77662	April 2026 test — Meter Base	
